id,name,email,linkedin_url,location,education_level,university,years_experience,previous_company,domain_expertise,technical_background,serial_entrepreneur,created_at
founder_97,Kenneth Smith,lisahenson@example.org,https://linkedin.com/in/alan85,Phoenix,PhD,CMU,25,Amazon,"['HRTech', 'EdTech']",True,True,2021-09-13
founder_98,Keith Carter,lindseyfarmer@example.org,https://linkedin.com/in/stevenhunter,Philadelphia,Self-taught,Harvard,0,Tesla,['Blockchain'],True,True,2019-05-12
founder_99,Heather Reese,kevinfernandez@example.com,https://linkedin.com/in/johnanderson,San Francisco,Bootcamp,Harvard,13,Startup,"['Cybersecurity', 'SaaS']",True,False,2024-04-21
founder_100,Adrian Reed,piercedonald@example.org,https://linkedin.com/in/dhernandez,Nashville,Bootcamp,Harvard,4,Apple,['HealthTech'],True,False,2025-03-01
founder_101,Ellen Doyle,morganluis@example.org,https://linkedin.com/in/bcurtis,Miami,PhD,Stanford,11,Tesla,"['FoodTech', 'SaaS', 'Gaming']",True,False,2021-10-22
founder_102,Kellie Ortiz,ngreer@example.org,https://linkedin.com/in/mark13,New York,Self-taught,,7,Microsoft,"['EdTech', 'FinTech']",True,False,2024-01-25
founder_103,Claudia Hudson,michaelreeves@example.com,https://linkedin.com/in/dhunter,San Francisco,PhD,MIT,8,Facebook,['InsurTech'],False,False,2019-01-09
founder_104,Robin Gutierrez,ylee@example.com,https://linkedin.com/in/jessicahall,Austin,Bachelor's,CMU,16,Startup,"['CleanTech', 'HealthTech']",True,True,2018-12-20
founder_105,Kenneth Taylor,jamie80@example.com,https://linkedin.com/in/melanie07,Portland,Bachelor's,,10,Finance,"['Gaming', 'AI/ML']",True,False,2016-09-20
founder_106,Gregory Smith,jeanetteperez@example.org,https://linkedin.com/in/rogerselizabeth,Phoenix,Master's,,1,Finance,"['LegalTech', 'HRTech', 'EdTech']",True,False,2023-07-05
founder_107,Brandon Scott,perezjonathan@example.com,https://linkedin.com/in/bowmanjennifer,Miami,Master's,Harvard,20,Apple,"['LegalTech', 'E-commerce', 'FinTech']",True,False,2016-09-07
founder_108,John Ramsey,henryelizabeth@example.org,https://linkedin.com/in/klane,Austin,Bootcamp,Caltech,17,Facebook,['E-commerce'],True,False,2020-11-12
founder_109,Denise Thompson,reevessabrina@example.net,https://linkedin.com/in/tbaker,Washington DC,Bachelor's,CMU,22,Consulting,"['LegalTech', 'Blockchain', 'Cybersecurity']",False,False,2015-12-18
founder_110,Anthony Munoz,robert03@example.net,https://linkedin.com/in/sawyerphilip,Austin,Bootcamp,,2,Microsoft,['AgriTech'],True,False,2019-03-27
founder_111,Sheri Taylor,morrisonstephanie@example.com,https://linkedin.com/in/toddgarcia,Denver,Self-taught,UC Berkeley,13,Apple,['EdTech'],True,True,2025-04-30
founder_112,Christopher Farrell,annaroman@example.org,https://linkedin.com/in/andrew77,Austin,Bachelor's,CMU,10,Consulting,"['Gaming', 'HealthTech', 'AI/ML']",False,False,2023-04-24
founder_113,Todd Simmons,lneal@example.net,https://linkedin.com/in/riggsdonald,Boston,Bachelor's,,17,Amazon,"['CleanTech', 'FoodTech']",True,False,2024-07-20
founder_114,Jon Parker,antoniocardenas@example.com,https://linkedin.com/in/swilson,New York,Bachelor's,,17,Apple,"['Cybersecurity', 'HealthTech']",False,False,2019-03-27
founder_115,Kim Ho,dortiz@example.org,https://linkedin.com/in/jonathan20,Atlanta,Master's,Caltech,21,Facebook,"['InsurTech', 'E-commerce']",True,True,2020-11-28
founder_116,Michelle Wilson,mhughes@example.com,https://linkedin.com/in/karenortega,Atlanta,Master's,Stanford,22,Microsoft,"['AgriTech', 'E-commerce', 'IoT']",True,False,2024-11-11
founder_117,Judy Williams,wilsonmegan@example.org,https://linkedin.com/in/ekeller,Portland,Self-taught,Caltech,1,Microsoft,['HealthTech'],True,False,2019-07-31
founder_118,Gregory Scott,taylorjeremy@example.com,https://linkedin.com/in/mooreangelica,Dallas,Master's,Stanford,15,Consulting,['IoT'],True,False,2018-01-05
founder_119,Karen Farmer,dwerner@example.com,https://linkedin.com/in/tonylewis,Miami,Bachelor's,Harvard,22,Finance,"['EdTech', 'SaaS', 'LegalTech']",False,False,2020-12-13
founder_120,Kathy Spears,carriesnyder@example.com,https://linkedin.com/in/zadams,Dallas,Master's,,9,Google,"['E-commerce', 'HRTech']",True,False,2023-05-27
founder_121,Logan Powell,jimenezbrian@example.net,https://linkedin.com/in/lisawood,Seattle,Bachelor's,Caltech,6,Microsoft,"['PropTech', 'Gaming', 'InsurTech']",True,False,2016-01-26
founder_122,Christopher Butler,shanewalker@example.org,https://linkedin.com/in/john03,Seattle,Bachelor's,,18,Tesla,['Blockchain'],True,False,2019-03-17
founder_123,Thomas Andrews,barrerachristopher@example.com,https://linkedin.com/in/xjackson,Portland,PhD,CMU,1,Tesla,"['AgriTech', 'IoT', 'SaaS']",True,False,2018-02-11
founder_124,Joshua Sherman,kelly42@example.com,https://linkedin.com/in/murraypaul,Boston,Self-taught,Harvard,16,Tesla,"['AgriTech', 'SaaS', 'PropTech']",True,False,2020-05-25
founder_125,Johnathan Mills,wilsonrebecca@example.org,https://linkedin.com/in/mthornton,Chicago,Bootcamp,,2,Microsoft,['Blockchain'],True,False,2019-05-11
founder_126,Theresa Abbott,kristenjohnson@example.com,https://linkedin.com/in/fserrano,Portland,Self-taught,CMU,3,Amazon,['FinTech'],False,False,2018-12-16
founder_127,Michael Kelly,mbrown@example.net,https://linkedin.com/in/christina00,San Francisco,Bootcamp,Caltech,0,Startup,"['HealthTech', 'EdTech', 'CleanTech']",False,False,2024-01-11
founder_128,Amy Marshall,antonio76@example.org,https://linkedin.com/in/murphytonya,Nashville,PhD,Caltech,14,Startup,['Gaming'],False,False,2016-02-28
founder_129,Kevin Ramirez,jimmy29@example.org,https://linkedin.com/in/greenmary,Boston,Self-taught,MIT,19,Microsoft,"['EdTech', 'E-commerce']",False,True,2015-12-03
founder_130,Christina Brown,meyerstephanie@example.com,https://linkedin.com/in/currymark,Portland,Self-taught,,21,Amazon,['LegalTech'],True,False,2022-04-05
founder_131,Eric Rubio,justinnguyen@example.org,https://linkedin.com/in/sjackson,Nashville,Bootcamp,Harvard,10,Google,"['InsurTech', 'AI/ML', 'PropTech']",True,False,2020-07-18
founder_132,Karen Jenkins,tylersanchez@example.org,https://linkedin.com/in/adamsaudrey,Portland,Bachelor's,,10,Google,['Blockchain'],False,False,2019-07-30
founder_133,Tracy Jones,tammyzamora@example.com,https://linkedin.com/in/ssalas,Los Angeles,Bootcamp,UC Berkeley,22,Facebook,"['Blockchain', 'FoodTech', 'AI/ML']",True,False,2022-01-09
founder_134,Timothy Davis,sharon63@example.net,https://linkedin.com/in/robert14,New York,Self-taught,Caltech,7,Startup,['MarTech'],True,False,2023-02-12
founder_135,Catherine Smith,sandovalgerald@example.org,https://linkedin.com/in/melissa33,Denver,Master's,Harvard,10,Amazon,"['PropTech', 'FinTech', 'Blockchain']",False,False,2015-12-17
founder_136,Tyler Soto,hfrench@example.org,https://linkedin.com/in/rita19,San Diego,Bachelor's,Other,5,Apple,"['SaaS', 'Cybersecurity', 'EdTech']",True,False,2018-02-17
founder_137,Phillip Hall,brian25@example.com,https://linkedin.com/in/wlewis,Austin,Bootcamp,UC Berkeley,11,Facebook,"['CleanTech', 'SaaS', 'IoT']",False,False,2018-11-29
founder_138,Paula Harris,smithcindy@example.org,https://linkedin.com/in/halenicole,San Diego,Bachelor's,,16,Amazon,"['FoodTech', 'E-commerce', 'Cybersecurity']",False,False,2021-12-30
founder_139,Sonia Ramsey,rmiller@example.net,https://linkedin.com/in/jennifer46,Phoenix,Master's,Stanford,5,Consulting,['AI/ML'],False,True,2016-04-25
founder_140,Jay Davidson,dan66@example.org,https://linkedin.com/in/ricedaisy,Chicago,Bachelor's,,8,Consulting,"['Blockchain', 'SaaS']",False,False,2019-02-05
founder_141,Thomas Romero,bbrown@example.net,https://linkedin.com/in/erinnorton,New York,Self-taught,Other,0,Google,['InsurTech'],False,False,2023-11-15
founder_142,Barbara Thomas,johnsonteresa@example.com,https://linkedin.com/in/wwhite,San Francisco,Self-taught,,11,Google,['Gaming'],True,False,2016-10-04
founder_143,David Skinner,lindsey09@example.org,https://linkedin.com/in/daniel79,Seattle,Master's,UC Berkeley,22,Startup,"['PropTech', 'LegalTech', 'SaaS']",False,True,2019-10-27
founder_144,Patricia Spence,floresmary@example.com,https://linkedin.com/in/phillipserica,Miami,Master's,,8,Tesla,"['FinTech', 'AgriTech', 'Gaming']",True,True,2024-01-13
founder_145,Don Sanchez,kevinconway@example.net,https://linkedin.com/in/tdavid,Austin,Self-taught,Stanford,21,Google,"['FinTech', 'Cybersecurity', 'MarTech']",False,False,2020-01-05
founder_146,Matthew Schmitt,jordan77@example.net,https://linkedin.com/in/fmiddleton,Portland,Master's,UC Berkeley,1,Google,"['LegalTech', 'AI/ML']",True,False,2020-06-24
founder_147,Lauren Richard,daniel82@example.net,https://linkedin.com/in/loriblake,Atlanta,Bachelor's,CMU,18,Facebook,"['InsurTech', 'CleanTech']",True,False,2019-11-26
founder_148,Anna Donovan,howardelizabeth@example.org,https://linkedin.com/in/matthew00,Seattle,PhD,CMU,10,Tesla,"['Gaming', 'MarTech', 'AI/ML']",False,False,2023-09-20
founder_149,Megan Davis,oortega@example.org,https://linkedin.com/in/robert23,Atlanta,Self-taught,CMU,9,Consulting,['PropTech'],False,False,2023-04-07
founder_150,Eddie Lee,ysantiago@example.com,https://linkedin.com/in/baileymary,Austin,Bachelor's,,24,Consulting,['Blockchain'],True,False,2018-04-11
founder_151,Cynthia Tate,nicholasrobinson@example.net,https://linkedin.com/in/colleenmcclain,Chicago,Bachelor's,Other,22,Amazon,"['LegalTech', 'InsurTech', 'Gaming']",False,False,2016-11-25
founder_152,Mitchell Ward,kathy35@example.com,https://linkedin.com/in/williamthomas,Los Angeles,Bachelor's,,4,Tesla,"['SaaS', 'HealthTech']",True,True,2023-11-19
founder_153,Nicole Hayes,taylor95@example.org,https://linkedin.com/in/laura24,Miami,Master's,,1,Startup,"['InsurTech', 'EdTech', 'AI/ML']",True,False,2024-04-23
founder_154,Miguel Cardenas,tiffanystokes@example.net,https://linkedin.com/in/brandygarcia,Denver,Self-taught,,21,Facebook,['EdTech'],True,False,2018-09-19
founder_155,Zachary Sanchez,allenjennifer@example.com,https://linkedin.com/in/susan58,New York,Self-taught,Harvard,15,Google,['InsurTech'],False,False,2016-04-22
founder_156,Clinton Moore,vdavis@example.com,https://linkedin.com/in/collinsjason,San Francisco,Bootcamp,Harvard,5,Tesla,"['PropTech', 'IoT', 'Blockchain']",False,False,2021-04-21
